spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
4,4239,0.8874441805761548,0.21266691188687334,118,false,true,true,true,lzf,37,17,org.apache.spark.serializer.KryoSerializer,185861
4,7113,0.2132908332511203,0.8764476065334561,55,true,true,false,false,lzf,46,8,org.apache.spark.serializer.JavaSerializer,186997
3,9561,0.893606157492244,0.3006252104130518,53,true,false,true,true,lzf,51,27,org.apache.spark.serializer.JavaSerializer,193684
1,17522,0.5933945121478812,0.8046030649960991,42,true,false,true,true,lz4,34,61,org.apache.spark.serializer.KryoSerializer,300564
1,16907,0.2593642905761693,0.6808307986980967,28,true,true,false,true,lzf,58,19,org.apache.spark.serializer.JavaSerializer,338504
3,15991,0.5660275949679242,0.358806121913282,194,false,true,false,true,lzf,52,59,org.apache.spark.serializer.KryoSerializer,190239
3,12518,0.694810962102173,0.1171312312333483,21,false,true,true,false,snappy,63,36,org.apache.spark.serializer.JavaSerializer,204365
4,5575,0.8499821993586656,0.1564058592075969,61,false,false,true,false,lzf,80,41,org.apache.spark.serializer.KryoSerializer,198937
1,13501,0.4130903603914031,0.7078814771612528,172,true,false,true,true,snappy,89,33,org.apache.spark.serializer.KryoSerializer,364441
3,4499,0.17690210463772918,0.7216961279037206,105,false,true,false,true,lz4,30,30,org.apache.spark.serializer.JavaSerializer,172557
4,20242,0.46410364157697137,0.14101095347427928,200,false,true,true,true,lz4,80,19,org.apache.spark.serializer.KryoSerializer,179723
1,12780,0.6107700261929827,0.12629770213779362,111,false,false,true,true,lzf,41,16,org.apache.spark.serializer.KryoSerializer,282714
1,4791,0.5140271678472494,0.35361824059058244,182,false,false,false,false,snappy,95,16,org.apache.spark.serializer.JavaSerializer,214111
4,18040,0.4922422130264992,0.14629456046778355,204,false,false,false,true,snappy,17,58,org.apache.spark.serializer.JavaSerializer,189814
2,10063,0.67707936737128,0.4114369657997069,172,false,false,false,true,lzf,71,8,org.apache.spark.serializer.JavaSerializer,188809
3,7303,0.22404988871159714,0.5881398116405285,127,false,false,false,false,lzf,30,13,org.apache.spark.serializer.KryoSerializer,201859
3,18305,0.8352944695388302,0.14524714730996247,141,false,false,false,true,lz4,9,62,org.apache.spark.serializer.JavaSerializer,195011
3,11216,0.87468940883157,0.38367407063102177,185,true,true,false,false,lzf,21,15,org.apache.spark.serializer.JavaSerializer,198959
2,15400,0.6004765577794444,0.6316095228164699,105,true,true,true,true,lz4,83,55,org.apache.spark.serializer.KryoSerializer,190956
4,10088,0.6225449914258379,0.24515716373524077,199,false,false,false,false,lz4,50,37,org.apache.spark.serializer.JavaSerializer,179341
2,19110,0.34569084998968985,0.41509200572801797,81,false,false,true,true,lz4,77,14,org.apache.spark.serializer.KryoSerializer,201542
4,18411,0.18097271887583333,0.44260165138364505,80,false,false,true,false,snappy,39,56,org.apache.spark.serializer.JavaSerializer,195611
3,6573,0.2377717634786584,0.23038627096539674,123,false,false,true,true,snappy,30,16,org.apache.spark.serializer.JavaSerializer,213293
3,8287,0.2980643920271609,0.7919324874853244,106,true,false,true,true,lzf,52,51,org.apache.spark.serializer.KryoSerializer,188966
2,12003,0.4629657789713274,0.15953486158831015,91,false,false,true,true,lzf,80,60,org.apache.spark.serializer.JavaSerializer,180137
1,4575,0.7420843992326935,0.7529884923027452,214,false,false,false,false,lz4,25,21,org.apache.spark.serializer.JavaSerializer,212010
3,19954,0.26849280579699564,0.858441785055683,211,true,false,true,true,snappy,85,18,org.apache.spark.serializer.JavaSerializer,194088
