XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
256,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,100,250,100,100,TRUE,10000,TRUE,1024,5360.205832
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,200,100,250,50,100,TRUE,10000,FALSE,2048,5528.832863
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,500,25,500,10,200,TRUE,10000,TRUE,1024,4344.86654
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,500,25,500,10,200,TRUE,10000,TRUE,2048,6356.87496
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,500,100,200,FALSE,10000,FALSE,2048,5130.13441
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,25,500,50,50,FALSE,10000,TRUE,2048,5948.604061
64,128,256,org.apache.coyote.http11.Http11Protocol,16384,500,25,250,10,100,FALSE,10000,TRUE,2048,6367.804381
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,500,25,500,100,200,FALSE,10000,FALSE,2048,6405.329234
128,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,25,500,50,100,FALSE,10000,TRUE,1024,7368.834742
64,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,25,500,100,50,TRUE,10000,FALSE,1024,6531.678641
64,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,500,25,500,100,100,TRUE,10000,FALSE,1024,4157.946529
128,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,500,25,500,100,100,TRUE,10000,FALSE,1024,6380.806534
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,500,100,100,FALSE,10000,TRUE,2048,4662.511851
256,128,512,org.apache.coyote.http11.Http11Protocol,4096,1000,25,500,10,50,TRUE,10000,FALSE,2048,6810.288075
256,128,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,25,500,100,100,FALSE,10000,FALSE,2048,7232.57552
128,128,256,org.apache.coyote.http11.Http11Protocol,8192,1000,25,250,100,100,TRUE,10000,FALSE,1024,6810.288075
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,1000,25,250,10,200,FALSE,10000,FALSE,2048,4949.43329
128,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,1000,25,500,50,200,TRUE,10000,TRUE,2048,4610.206998
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,1000,25,500,50,200,FALSE,10000,FALSE,2048,5662.621039
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,1000,25,500,50,50,FALSE,10000,FALSE,2048,6314.593024
64,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,1000,25,500,10,100,TRUE,10000,FALSE,2048,6734.7626
64,64,128,org.apache.coyote.http11.Http11NioProtocol,8192,200,25,500,10,50,TRUE,10000,TRUE,1024,5979.073244
256,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,25,250,100,50,FALSE,10000,FALSE,1024,5862.351976
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,250,10,200,FALSE,10000,TRUE,1024,3381.31037
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,250,100,200,FALSE,10000,FALSE,2048,3209.517289
64,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,25,250,10,100,TRUE,10000,FALSE,1024,6027.364234
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,200,25,250,100,200,FALSE,10000,FALSE,1024,6095.330976
128,128,512,org.apache.coyote.http11.Http11AprProtocol,8192,200,25,500,50,50,TRUE,10000,FALSE,1024,5734.931468
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,25,500,100,50,TRUE,10000,FALSE,1024,6154.351126
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,200,25,500,100,100,FALSE,10000,TRUE,1024,5347.784235
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,250,10,100,TRUE,10000,TRUE,1024,6431.143886
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,25,500,50,100,TRUE,10000,TRUE,2048,6132.837255
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,200,25,500,50,100,FALSE,10000,TRUE,1024,5376.440438
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,200,25,500,100,100,FALSE,10000,TRUE,2048,5829.883985
128,256,512,org.apache.coyote.http11.Http11Protocol,16384,500,50,75,50,50,TRUE,20000,FALSE,1024,4596.785315
256,128,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,75,100,50,TRUE,20000,TRUE,1024,5948.014355
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,100,50,FALSE,20000,FALSE,1024,5765.350245
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,500,10,100,FALSE,20000,TRUE,2048,5347.498262
256,128,512,org.apache.coyote.http11.Http11Protocol,4096,500,50,75,50,100,TRUE,20000,TRUE,2048,5886.970173
